"filename", "language", "Go Module File", "Go Checksum File", "Go", "MS SQL", "Docker", "Python", "pip requirements", "comment", "blank", "total"
"/Volumes/data/projects/poxenstudio/MyNexus/core-api/Dockerfile", "Docker", 0, 0, 0, 0, 25, 0, 0, 0, 6, 31
"/Volumes/data/projects/poxenstudio/MyNexus/core-api/cmd/mynexus-api/main.go", "Go", 0, 0, 49, 0, 0, 0, 0, 6, 10, 65
"/Volumes/data/projects/poxenstudio/MyNexus/core-api/go.mod", "Go Module File", 50, 0, 0, 0, 0, 0, 0, 0, 4, 54
"/Volumes/data/projects/poxenstudio/MyNexus/core-api/go.sum", "Go Checksum File", 0, 175, 0, 0, 0, 0, 0, 0, 1, 176
"/Volumes/data/projects/poxenstudio/MyNexus/core-api/internal/api/dto/audit_dto.go", "Go", 0, 0, 23, 0, 0, 0, 0, 0, 5, 28
"/Volumes/data/projects/poxenstudio/MyNexus/core-api/internal/api/dto/book_dto.go", "Go", 0, 0, 100, 0, 0, 0, 0, 2, 18, 120
"/Volumes/data/projects/poxenstudio/MyNexus/core-api/internal/api/dto/chat_dto.go", "Go", 0, 0, 60, 0, 0, 0, 0, 5, 12, 77
"/Volumes/data/projects/poxenstudio/MyNexus/core-api/internal/api/dto/search_dto.go", "Go", 0, 0, 36, 0, 0, 0, 0, 4, 7, 47
"/Volumes/data/projects/poxenstudio/MyNexus/core-api/internal/api/dto/settings_dto.go", "Go", 0, 0, 11, 0, 0, 0, 0, 4, 3, 18
"/Volumes/data/projects/poxenstudio/MyNexus/core-api/internal/api/dto/task_dto.go", "Go", 0, 0, 63, 0, 0, 0, 0, 1, 13, 77
"/Volumes/data/projects/poxenstudio/MyNexus/core-api/internal/api/dto/token_dto.go", "Go", 0, 0, 28, 0, 0, 0, 0, 1, 7, 36
"/Volumes/data/projects/poxenstudio/MyNexus/core-api/internal/api/handler/audit_handler.go", "Go", 0, 0, 28, 0, 0, 0, 0, 0, 9, 37
"/Volumes/data/projects/poxenstudio/MyNexus/core-api/internal/api/handler/auth_handler.go", "Go", 0, 0, 176, 0, 0, 0, 0, 15, 29, 220
"/Volumes/data/projects/poxenstudio/MyNexus/core-api/internal/api/handler/book_handler.go", "Go", 0, 0, 233, 0, 0, 0, 0, 13, 40, 286
"/Volumes/data/projects/poxenstudio/MyNexus/core-api/internal/api/handler/chat_handler.go", "Go", 0, 0, 142, 0, 0, 0, 0, 10, 21, 173
"/Volumes/data/projects/poxenstudio/MyNexus/core-api/internal/api/handler/search_handler.go", "Go", 0, 0, 53, 0, 0, 0, 0, 0, 11, 64
"/Volumes/data/projects/poxenstudio/MyNexus/core-api/internal/api/handler/system_handler.go", "Go", 0, 0, 109, 0, 0, 0, 0, 21, 22, 152
"/Volumes/data/projects/poxenstudio/MyNexus/core-api/internal/api/handler/task_handler.go", "Go", 0, 0, 77, 0, 0, 0, 0, 2, 14, 93
"/Volumes/data/projects/poxenstudio/MyNexus/core-api/internal/api/handler/token_handler.go", "Go", 0, 0, 50, 0, 0, 0, 0, 0, 10, 60
"/Volumes/data/projects/poxenstudio/MyNexus/core-api/internal/api/middleware/auth.go", "Go", 0, 0, 47, 0, 0, 0, 0, 14, 8, 69
"/Volumes/data/projects/poxenstudio/MyNexus/core-api/internal/api/middleware/cors.go", "Go", 0, 0, 41, 0, 0, 0, 0, 8, 7, 56
"/Volumes/data/projects/poxenstudio/MyNexus/core-api/internal/api/middleware/ratelimit.go", "Go", 0, 0, 42, 0, 0, 0, 0, 5, 9, 56
"/Volumes/data/projects/poxenstudio/MyNexus/core-api/internal/api/router.go", "Go", 0, 0, 79, 0, 0, 0, 0, 8, 18, 105
"/Volumes/data/projects/poxenstudio/MyNexus/core-api/internal/auth/api_token.go", "Go", 0, 0, 19, 0, 0, 0, 0, 3, 4, 26
"/Volumes/data/projects/poxenstudio/MyNexus/core-api/internal/auth/password.go", "Go", 0, 0, 9, 0, 0, 0, 0, 0, 4, 13
"/Volumes/data/projects/poxenstudio/MyNexus/core-api/internal/auth/session.go", "Go", 0, 0, 53, 0, 0, 0, 0, 9, 12, 74
"/Volumes/data/projects/poxenstudio/MyNexus/core-api/internal/config/config.go", "Go", 0, 0, 169, 0, 0, 0, 0, 56, 25, 250
"/Volumes/data/projects/poxenstudio/MyNexus/core-api/internal/coordinator/worker_client.go", "Go", 0, 0, 166, 0, 0, 0, 0, 39, 31, 236
"/Volumes/data/projects/poxenstudio/MyNexus/core-api/internal/grpcapi/mynexuspb/mynexus.pb.go", "Go", 0, 0, 1538, 0, 0, 0, 0, 51, 247, 1836
"/Volumes/data/projects/poxenstudio/MyNexus/core-api/internal/grpcapi/mynexuspb/mynexus_grpc.pb.go", "Go", 0, 0, 506, 0, 0, 0, 0, 138, 51, 695
"/Volumes/data/projects/poxenstudio/MyNexus/core-api/internal/grpcserver/server.go", "Go", 0, 0, 147, 0, 0, 0, 0, 23, 26, 196
"/Volumes/data/projects/poxenstudio/MyNexus/core-api/internal/models/admin_user.go", "Go", 0, 0, 9, 0, 0, 0, 0, 2, 2, 13
"/Volumes/data/projects/poxenstudio/MyNexus/core-api/internal/models/api_token.go", "Go", 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"/Volumes/data/projects/poxenstudio/MyNexus/core-api/internal/models/audit_log.go", "Go", 0, 0, 10, 0, 0, 0, 0, 0, 2, 12
"/Volumes/data/projects/poxenstudio/MyNexus/core-api/internal/models/book.go", "Go", 0, 0, 29, 0, 0, 0, 0, 4, 4, 37
"/Volumes/data/projects/poxenstudio/MyNexus/core-api/internal/models/chapter.go", "Go", 0, 0, 10, 0, 0, 0, 0, 0, 2, 12
"/Volumes/data/projects/poxenstudio/MyNexus/core-api/internal/models/chat_session.go", "Go", 0, 0, 21, 0, 0, 0, 0, 0, 4, 25
"/Volumes/data/projects/poxenstudio/MyNexus/core-api/internal/models/chunk.go", "Go", 0, 0, 11, 0, 0, 0, 0, 0, 2, 13
"/Volumes/data/projects/poxenstudio/MyNexus/core-api/internal/models/task.go", "Go", 0, 0, 29, 0, 0, 0, 0, 3, 5, 37
"/Volumes/data/projects/poxenstudio/MyNexus/core-api/internal/service/admin_user_service.go", "Go", 0, 0, 96, 0, 0, 0, 0, 10, 15, 121
"/Volumes/data/projects/poxenstudio/MyNexus/core-api/internal/service/audit_service.go", "Go", 0, 0, 55, 0, 0, 0, 0, 3, 11, 69
"/Volumes/data/projects/poxenstudio/MyNexus/core-api/internal/service/book_service.go", "Go", 0, 0, 345, 0, 0, 0, 0, 31, 54, 430
"/Volumes/data/projects/poxenstudio/MyNexus/core-api/internal/service/chat_service.go", "Go", 0, 0, 93, 0, 0, 0, 0, 0, 15, 108
"/Volumes/data/projects/poxenstudio/MyNexus/core-api/internal/service/task_service.go", "Go", 0, 0, 133, 0, 0, 0, 0, 6, 23, 162
"/Volumes/data/projects/poxenstudio/MyNexus/core-api/internal/service/token_service.go", "Go", 0, 0, 81, 0, 0, 0, 0, 5, 13, 99
"/Volumes/data/projects/poxenstudio/MyNexus/core-api/internal/storage/database.go", "Go", 0, 0, 7, 0, 0, 0, 0, 4, 3, 14
"/Volumes/data/projects/poxenstudio/MyNexus/core-api/internal/storage/migrator.go", "Go", 0, 0, 82, 0, 0, 0, 0, 15, 11, 108
"/Volumes/data/projects/poxenstudio/MyNexus/core-api/internal/storage/postgres/migrations/0001_init.sql", "MS SQL", 0, 0, 0, 81, 0, 0, 0, 3, 8, 92
"/Volumes/data/projects/poxenstudio/MyNexus/core-api/internal/storage/postgres/migrations/0002_admin_users.sql", "MS SQL", 0, 0, 0, 7, 0, 0, 0, 1, 2, 10
"/Volumes/data/projects/poxenstudio/MyNexus/core-api/internal/storage/postgres/migrations/0003_admin_audit_log.sql", "MS SQL", 0, 0, 0, 10, 0, 0, 0, 1, 2, 13
